Barcode,Height (cm),Tree type,Health,Diameter (mm),Notes,Created By,Date,Cell No.,Link Record,Tree classification,Basalt,Soil Innoculation,Group (from Link Record),Download image name,Cell Planted Date (from Link Record),Plant week no (from Link Record),1st Measure Week No.,Weeks of growth to first measure,Height/Week of growth (cm),Plant height reference,Size range at planting (cm),Age (from Plant height reference 2),Diameter (mm) 12-21,Height (cm) 12-21,12-21 Update date,12-21 Updated by,Replanted 2-22,Diameter at base 2-22 replant,Height 2-22 replant,Replant measured by,Replant 2-22 measure date,Base Diameter (mm) (10-22),Diameter at 1.3m (mm) (10-22),Top Whorl Height (cm) (10-22),Height to tip (cm) (10-22),Dead (10-22),Remeasured 10-22 by,10-22 Remeasure date,Conifer/ Broadleaf,Health (10-23),"Height to tip (cm, 10-23)","Diameter at 1.3m (mm, 10-23)","Base Diameter (mm, 10-23)",Collector (10-23),10-23 Data Collection,Location Est X/Y accuracy,Location Est Z accuracy,X,Y,Z,Notes 10-23,Location Offset
10026,,Rowan,Dead,,"1st row from left, final tree - needs replacing.",Heather Allen,28/6/2021 2:22pm,1,1,Native Broadleaf,No,No,C,010026-2021-06-28,03/05/2021,19,27,8,0,,,,,,,,checked,7,70,charles nicholls,22/5/2022 11:06am,6,,,72,,TCC6 CarbonCom,7/10/2022 2:17pm,Broadleaf,Alive,91,,11,TCC7 CarbonCom,05/10/2023 13:59,0.02,0.02,280514.6644,241915.0309,221.6149,,West
10027,52,Cherry,Vigorous ,4,,Heather Allen,28/6/2021 2:32pm,1,1,Native Broadleaf,No,No,C,010027-2021-06-28,03/05/2021,19,27,8,7,3,25-40,1u1,,,,,,,,,,8,,,75,,TCC6 CarbonCom,7/10/2022 2:08pm,Broadleaf,Alive,79,,12,TCC7 CarbonCom,05/10/2023 13:46,0.01,0.02,280529.5158,241923.2565,221.6765,,West
10028,54,Cherry,Vigorous ,4.4,,Heather Allen,28/6/2021 2:31pm,1,1,Native Broadleaf,No,No,C,010028-2021-06-28,03/05/2021,19,27,8,7,3,25-40,1u1,,,,,,,,,,6,,,74,,TCC6 CarbonCom,7/10/2022 2:09pm,Broadleaf,Alive,75,,9,TCC7 CarbonCom,05/10/2023 13:49,0.01,0.02,280527.77,241922.4075,221.7286,,West
10029,37.5,Cherry,Healthy,3.6,,Heather Allen,28/6/2021 2:29pm,1,1,Native Broadleaf,No,No,C,010029-2021-06-28,03/05/2021,19,27,8,5,3,25-40,1u1,,,,,,,,,,6,,,69,,TCC6 CarbonCom,7/10/2022 2:11pm,Broadleaf,Alive,78,,8,TCC7 CarbonCom,05/10/2023 13:52,0.01,0.02,280524.3038,241920.6255,221.8045,,West
10030,38.5,Cherry,Sick,4.6,Bugs,Heather Allen,28/6/2021 2:24pm,1,1,Native Broadleaf,No,No,C,010030-2021-06-28,03/05/2021,19,27,8,5,3,25-40,1u1,,,,,,,,,,6,,,58,,TCC6 CarbonCom,7/10/2022 2:15pm,Broadleaf,Alive,64,,7,TCC7 CarbonCom,05/10/2023 13:57,0.02,0.02,280517.7421,241916.8267,221.7391,,West
10031,55,Cherry,Vigorous ,4.2,,Andrea Casale,28/6/2021 12:19pm,1,1,Native Broadleaf,No,No,C,010031-2021-06-28,03/05/2021,19,27,8,7,3,25-40,1u1,,,,,,,,,,16,,,125,,TCC8 CarbonCom,7/10/2022 2:26pm,Broadleaf,,,,,,,,,,,,,West
10032,28.5,Oak,Healthy,3.7,,Andrea Casale,28/6/2021 12:37pm,1,1,Native Broadleaf,No,No,C,010032-2021-06-28,03/05/2021,19,27,8,4,1,30-100muk,1u2,,,,,,,,,,7,,,68,,TCC8 CarbonCom,7/10/2022 2:20pm,Broadleaf,Alive,115,,12,TCC9 CarbonCom,05/10/2023 14:17,0.01,0.02,280506.7591,241930.6084,220.0296,,West
10033,25,Aspen,Sick,3,,Heather Allen,28/6/2021 2:26pm,1,1,Native Broadleaf,No,No,C,010033-2021-06-28,03/05/2021,19,27,8,3,4,30-40,1+1,,,,,,,,,,3,,,40,,TCC6 CarbonCom,7/10/2022 2:14pm,Broadleaf,Dead,,,,TCC7 CarbonCom,05/10/2023 13:54,0.01,0.02,280521.0321,241918.8983,221.7803,,West
10034,27.5,Oak,Healthy,3.4,,Heather Allen,28/6/2021 2:21pm,1,1,Native Broadleaf,No,No,C,010034-2021-06-28,03/05/2021,19,27,8,3,1,30-100muk,1u2,,,,,,,,,,7,,,80,,TCC10 CarbonCom,7/10/2022 2:14pm,Broadleaf,Alive,105,,15,TCC11 CarbonCom,05/10/2023 13:55,0.01,0.02,280513.5328,241916.4947,221.4388,,West
10035,41,Cherry,Healthy,4.9,,Heather Allen,28/6/2021 2:25pm,1,1,Native Broadleaf,No,No,C,010035-2021-06-28,03/05/2021,19,27,8,5,3,25-40,1u1,,,,,,,,,,7,,,68,,TCC6 CarbonCom,7/10/2022 2:14pm,Broadleaf,Alive,77,,10,TCC7 CarbonCom,05/10/2023 13:55,0.01,0.02,280519.4259,241917.8849,221.7444,,West
10036,59,Cherry,Vigorous ,6.3,,Heather Allen,28/6/2021 2:30pm,1,1,Native Broadleaf,No,No,C,010036-2021-06-28,03/05/2021,19,27,8,7,3,25-40,1u1,,,,,,,,,,11,,,116,,TCC6 CarbonCom,7/10/2022 2:10pm,Broadleaf,Alive,132,4,20,TCC7 CarbonCom,05/10/2023 13:50,0.01,0.02,280526.0617,241921.4987,221.7507,,West
10037,57.5,Cherry,Vigorous ,5.8,,Heather Allen,28/6/2021 2:28pm,1,1,Native Broadleaf,No,No,C,010037-2021-06-28,03/05/2021,19,27,8,7,3,25-40,1u1,,,,,,,,,,10,,,88,,TCC6 CarbonCom,7/10/2022 2:12pm,Broadleaf,Alive,109,,16,TCC7 CarbonCom,05/10/2023 13:53,0.01,0.02,280522.7914,241919.7477,221.7644,,West
10038,64.5,Aspen,Vigorous ,7,,Heather Allen,28/6/2021 2:23pm,1,1,Native Broadleaf,No,No,C,010038-2021-06-28,03/05/2021,19,27,8,8,3,25-40,1u1,,,,,,,,,,11,,,98,,TCC6 CarbonCom,7/10/2022 2:16pm,Broadleaf,Alive,131,4,20,TCC7 CarbonCom,05/10/2023 13:58,0.01,0.02,280516.2033,241915.8862,221.7308,,West
10039,50.5,Cherry,Vigorous ,5.1,,Heather Allen,28/6/2021 2:21pm,1,1,Native Broadleaf,No,No,C,010039-2021-06-28,03/05/2021,19,27,8,6,3,25-40,1u1,,,,,,,,,,,,,,checked,TCC10 CarbonCom,7/10/2022 2:13pm,Broadleaf,Dead,,,,TCC11 CarbonCom,05/10/2023 13:54,0.01,0.02,280515.0844,241917.504,221.5584,,West
10040,55,Cherry,Vigorous ,5,,Heather Allen,28/6/2021 2:17pm,1,1,Native Broadleaf,No,No,C,010040-2021-06-28,03/05/2021,19,27,8,7,3,25-40,1u1,,,,,,,,,,8,,,72,,TCC10 CarbonCom,7/10/2022 2:10pm,Broadleaf,Dead,,,,TCC11 CarbonCom,05/10/2023 13:51,0.01,0.02,280521.5945,241921.4526,221.6532,,West
10041,34.5,Cherry,Healthy,4.4,,Heather Allen,28/6/2021 2:16pm,1,1,Native Broadleaf,No,No,C,010041-2021-06-28,03/05/2021,19,27,8,4,3,25-40,1u1,,,,,,,,,,9,,,76,,TCC10 CarbonCom,7/10/2022 2:10pm,Broadleaf,Alive,98,,13,TCC11 CarbonCom,05/10/2023 13:49,0.01,0.02,280523.2938,241922.2633,221.6003,,West
10042,26.5,Cherry,Healthy,2.9,,Heather Allen,28/6/2021 2:20pm,1,1,Native Broadleaf,No,No,C,010042-2021-06-28,03/05/2021,19,27,8,3,3,25-40,1u1,,,,,,,,,,5,,,47,,TCC10 CarbonCom,7/10/2022 2:13pm,Broadleaf,Alive,63,,6,TCC11 CarbonCom,05/10/2023 13:53,0.01,0.02,280516.7608,241918.4397,221.5444,,West
10043,44,Oak,Vigorous ,4.7,,Heather Allen,28/6/2021 2:10pm,1,1,Native Broadleaf,No,No,C,010043-2021-06-28,03/05/2021,19,27,8,6,1,30-100muk,1u2,,,,,,,,,,11,,,101,,TCC13 CarbonCom,7/10/2022 2:10pm,Broadleaf,Alive,172,6,21,TCC1 CarbonCom,05/10/2023 13:56,0.01,0.02,280521.9158,241923.8994,221.4774,,West
10044,62.2,Cherry,Vigorous ,7,,Heather Allen,28/6/2021 2:18pm,1,1,Native Broadleaf,No,No,C,010044-2021-06-28,03/05/2021,19,27,8,8,3,25-40,1u1,,,,,,,,,,12,,,88,,TCC10 CarbonCom,7/10/2022 2:11pm,Broadleaf,Alive,115,,18,TCC11 CarbonCom,05/10/2023 13:51,0.01,0.02,280520.0019,241920.7264,221.6609,,West
10045,59.5,Cherry,Vigorous ,5.3,,Heather Allen,28/6/2021 2:19pm,1,1,Native Broadleaf,No,No,C,010045-2021-06-28,03/05/2021,19,27,8,7,3,25-40,1u1,,,,,,,,,,9,,,93,,TCC10 CarbonCom,7/10/2022 2:12pm,Broadleaf,Alive,108,,13,TCC11 CarbonCom,05/10/2023 13:52,0.01,0.02,280518.3281,241919.4801,221.6724,,West
10046,47,Cherry,Healthy,6,,Heather Allen,28/6/2021 2:15pm,1,1,Native Broadleaf,No,No,C,010046-2021-06-28,03/05/2021,19,27,8,6,3,25-40,1u1,,,,,,,,,,11,,,76,,TCC10 CarbonCom,7/10/2022 2:09pm,Broadleaf,Alive,100,,16,TCC11 CarbonCom,05/10/2023 13:48,0.01,0.02,280524.9719,241923.0854,221.5263,,West
10047,43,Cherry,Healthy,4.5,,Heather Allen,28/6/2021 2:14pm,1,1,Native Broadleaf,No,No,C,010047-2021-06-28,03/05/2021,19,27,8,5,3,25-40,1u1,,,,,,,,,,10,,,86,,TCC10 CarbonCom,7/10/2022 2:08pm,Broadleaf,Alive,95,,13,TCC11 CarbonCom,05/10/2023 13:46,0.01,0.03,280526.7966,241923.9948,221.5515,,West
10048,57.5,Cherry,Vigorous ,4.7,,Heather Allen,28/6/2021 2:12pm,1,1,Native Broadleaf,No,No,C,010048-2021-06-28,03/05/2021,19,27,8,7,3,25-40,1u1,,,,,,,,,,7,,,102,,TCC13 CarbonCom,7/10/2022 2:08pm,Broadleaf,Alive,139,2,12,TCC1 CarbonCom,05/10/2023 13:50,0.01,0.03,280525.2244,241925.6069,221.4498,,West
10049,43,Birch,Healthy,3,,Heather Allen,28/6/2021 2:13pm,1,1,Native Broadleaf,No,No,C,010049-2021-06-28,03/05/2021,19,27,8,5,3,25-40,1u1,,,,,,,,,,7,,,92,,TCC12 CarbonCom,13/10/2022 11:54am,Broadleaf,Alive,116,,8,TCC1 CarbonCom,05/10/2023 13:47,0.01,0.02,280526.8916,241926.389,221.3778,,West
10050,51.5,Birch,Healthy,2.8,,Heather Allen,28/6/2021 2:11pm,1,1,Native Broadleaf,No,No,C,010050-2021-06-28,03/05/2021,19,27,8,6,2,20-40,1/0,,,,,,,,,,8,2,,130,,TCC12 CarbonCom,13/10/2022 11:51am,Broadleaf,Alive,138,1,11,TCC1 CarbonCom,05/10/2023 13:53,0.01,0.03,280523.6542,241924.7504,221.5034,,West
10051,29,Oak,Healthy,5.3,,Heather Allen,28/6/2021 2:02pm,1,1,Native Broadleaf,No,No,C,010051-2021-06-28,03/05/2021,19,27,8,4,1,30-100muk,1u2,,,,,,,,,,,,,,checked,TCC14 CarbonCom,7/10/2022 2:12pm,Broadleaf,Dead,,,,TCC8 CarbonCom,05/10/2023 14:02,0.02,0.02,280514.202,241921.4176,221.4085,,West
10052,39,Oak,Healthy,7.7,,Heather Allen,28/6/2021 2:00pm,1,1,Native Broadleaf,No,No,C,010052-2021-06-28,03/05/2021,19,27,8,5,1,30-100muk,1u2,,,,,,,,,,12,,,104,,TCC14 CarbonCom,7/10/2022 2:12pm,Broadleaf,Alive,107,,18,TCC11 CarbonCom,05/10/2023 14:22,0.02,0.03,280517.6108,241923.6287,221.2898,,West
10053,40,Oak,Healthy,8.4,,Heather Allen,28/6/2021 2:05pm,1,1,Native Broadleaf,No,No,C,010053-2021-06-28,03/05/2021,19,27,8,5,1,30-100muk,1u2,,,,,,,,,,16,,,121,,TCC13 CarbonCom,7/10/2022 2:14pm,Broadleaf,Alive,149,5,34,TCC1 CarbonCom,05/10/2023 14:08,0.02,0.02,280512.131,241917.9472,221.2324,,West
10054,40.5,Oak,Healthy,5.2,,Heather Allen,28/6/2021 2:09pm,1,1,Native Broadleaf,No,No,C,010054-2021-06-28,03/05/2021,19,27,8,5,1,30-100muk,1u2,,,,,,,,,,9,,,87,,TCC13 CarbonCom,7/10/2022 2:12pm,Broadleaf,Alive,119,,24,TCC1 CarbonCom,05/10/2023 14:01,0.02,0.02,280518.6855,241922.0505,221.5119,,West
10055,40,Oak,Healthy,8.6,,Heather Allen,28/6/2021 2:10pm,1,1,Native Broadleaf,No,No,C,010055-2021-06-28,03/05/2021,19,27,8,5,1,30-100muk,1u2,,,,,,,,,,10,,,89,,TCC13 CarbonCom,7/10/2022 2:11pm,Broadleaf,Alive,108,,21,TCC1 CarbonCom,05/10/2023 13:59,0.01,0.02,280520.2555,241922.9792,221.5316,,West
10056,35,Oak,Healthy,4.7,,Heather Allen,28/6/2021 1:59pm,1,1,Native Broadleaf,No,No,C,010056-2021-06-28,03/05/2021,19,27,8,4,1,30-100muk,1u2,,,,,,,,,,10,,,85,,TCC14 CarbonCom,7/10/2022 2:11pm,Broadleaf,Alive,117,,20,TCC8 CarbonCom,05/10/2023 13:57,0.01,0.02,280519.2345,241924.4047,221.4808,,West
10057,55.5,Birch,Healthy,4.9,,Heather Allen,28/6/2021 1:57pm,1,1,Native Broadleaf,No,No,C,010057-2021-06-28,03/05/2021,19,27,8,7,2,20-40,1/0,,,,,,,,,,9,,,110,,TCC14 CarbonCom,7/10/2022 2:10pm,Broadleaf,Alive,151,3,15,TCC8 CarbonCom,05/10/2023 13:53,0.01,0.02,280522.6778,241926.3222,221.443,,West
10058,58.8,Cherry,Vigorous ,4.7,,Andrea Casale,28/6/2021 12:52pm,1,1,Native Broadleaf,No,No,C,010058-2021-06-28,03/05/2021,19,27,8,7,3,25-40,1u1,,,,,,,,,,8,,,76,,TCC13 CarbonCom,7/10/2022 2:24pm,Broadleaf,Alive,102,,11,TCC9 CarbonCom,05/10/2023 14:24,0.01,0.02,280524.2685,241938.0008,220.3932,,West
10059,45.3,Birch,Healthy,4,,Heather Allen,28/6/2021 1:45pm,1,1,Native Broadleaf,No,No,C,010059-2021-06-28,03/05/2021,19,27,8,6,2,20-40,1/0,,,,,,,,,,22,9,,188,,TCC8 CarbonCom,7/10/2022 2:17pm,Broadleaf,Alive,262,17,41,TCC9 CarbonCom,05/10/2023 14:13,0.01,0.02,280515.0727,241924.4094,221.0529,,West
10060,27,Oak,Healthy,5.8,,Heather Allen,28/6/2021 2:08pm,1,1,Native Broadleaf,No,No,C,010060-2021-06-28,03/05/2021,19,27,8,3,1,30-100muk,1u2,,,,,,,,,,9,,,107,,TCC13 CarbonCom,7/10/2022 2:12pm,Broadleaf,Alive,109,,13,TCC1 CarbonCom,05/10/2023 14:03,0.01,0.02,280517.0077,241921.0707,221.4804,,West
10061,,Rowan,Dead,,"4th row from left (when you face the centre post standing on the path), 2nd tag in - needs replacing.",Heather Allen,28/6/2021 1:54pm,1,1,Native Broadleaf,No,No,C,010061-2021-06-28,03/05/2021,19,27,8,0,,,,,,,,checked,3,46,Heather Allen,22/5/2022 11:05am,5,,,52,,TCC14 CarbonCom,7/10/2022 2:10pm,Broadleaf,Alive,72,,6,TCC8 CarbonCom,05/10/2023 13:52,0.02,0.03,280524.3724,241927.2352,221.44,,West
